Leaf_Num,Leaf_Area,Undisturbed,Percent_Undisturbed,Percent_Herbivory,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,36,22,0.611111111,38.88888889,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,38,31,0.815789474,18.42105263,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,36,30,0.833333333,16.66666667,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,37,25,0.675675676,32.43243243,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,34,20,0.588235294,41.17647059,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,36.2,26.1,0.720865972,27.91340281,Average,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tree 6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Leaf Area,Undisturbed,% Undisturbed,% Herbivory,,DBH,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,35,34,0.971428571,2.857142857,,Tree Health (1-3),,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,33,31,0.939393939,6.060606061,,# of Galls,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,36,33,0.916666667,8.333333333,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,32,29,0.90625,9.375,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,31,31,1,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,30,30,1,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,38,36,0.947368421,5.263157895,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,27,26,0.962962963,3.703703704,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,37,34,0.918918919,8.108108108,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,28,28,1,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,32.7,31.2,0.956298948,4.370105196,Average,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tree 7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Leaf Area,Undisturbed,% Undisturbed,% Herbivory,,DBH,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,37,29,0.783783784,21.62162162,,Tree Health (1-3),,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,36,23,0.638888889,36.11111111,,# of Galls,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,39,30,0.769230769,23.07692308,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,33,21,0.636363636,36.36363636,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,38,25,0.657894737,34.21052632,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,40,30,0.75,25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,30,21,0.7,30,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,29,17,0.586206897,41.37931034,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,31,23,0.741935484,25.80645161,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,41,25,0.609756098,39.02439024,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,35.4,24.4,0.687406029,31.25939707,Average,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tree 8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Leaf Area,Undisturbed,% Undisturbed,% Herbivory,,DBH,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,37,32,0.864864865,13.51351351,,Tree Health (1-3),,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,44,40,0.909090909,9.090909091,,# of Galls,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,43,36,0.837209302,16.27906977,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,39,36,0.923076923,7.692307692,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,42,34,0.80952381,19.04761905,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,34,28,0.823529412,17.64705882,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,40,39,0.975,2.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,35,31,0.885714286,11.42857143,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,38,30,0.789473684,21.05263158,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,32,27,0.84375,15.625,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,38.4,33.3,0.866123319,13.38766809,Average,,,,,,,,
